3.41	4.988	0.01
3.42	5.017	0.175
3.43	5.029	0.235
3.44	5.041	0.216
3.45	5.054	0.069
3.46	5.094	0.01
3.47	5.122	0.01
3.48	5.15	0.01
3.49	5.177	0.01
3.5	5.206	0.01
3.51	5.241	0.01
3.52	5.262	0.218
3.53	5.275	0.259
3.54	5.288	0.228
3.55	5.3	0.04
3.56	5.342	0.01
3.57	5.372	0.01
3.58	5.4	0.01
3.59	5.429	0.01
3.6	5.46	0.01
3.61	5.497	0.165
3.62	5.51	0.267
3.63	5.523	0.281
3.64	5.536	0.225
3.65	5.561	0.01
3.66	5.596	0.01
3.67	5.627	0.01
3.68	5.656	0.01
3.69	5.687	0.01
3.7	5.732	0.065
3.71	5.745	0.263
3.72	5.758	0.31
3.73	5.772	0.292
3.74	5.785	0.19
3.75	5.822	0.01
3.76	5.856	0.01
3.77	5.887	0.01
3.78	5.919	0.01
3.79	5.958	0.01
3.8	5.983	0.264
3.81	5.996	0.334
3.82	6.01	0.337
3.83	6.024	0.276
3.84	6.043	0.01
3.85	6.087	0.01
3.86	6.121	0.01
3.87	6.154	0.01
3.88	6.196	0.01
3.89	6.221	0.283
3.9	6.235	0.364
3.91	6.249	0.378
3.92	6.263	0.334
3.93	6.278	0.192
3.94	6.322	0.01
3.95	6.359	0.01
3.96	6.471	0.01
3.97	6.447	0.069
3.98	6.462	0.328
3.99	6.477	0.406
4	6.491	0.423
4.01	6.505	0.384
4.02	6.52	0.265
4.03	6.56	0.01
4.04	6.601	0.01
4.05	6.641	0.01
4.06	6.688	0.23
4.07	6.704	0.398
4.08	6.719	0.464
4.09	6.734	0.475
4.1	6.749	0.433
4.11	6.765	0.315
4.12	6.802	0.01
4.13	6.849	0.01
4.14	6.902	0.01
4.15	6.932	0.371
4.16	6.947	0.489
4.17	6.963	0.538
4.18	6.979	0.537
4.19	6.995	0.484
4.2	7.012	0.35
4.21	7.005	0.01
4.22	7.11	0.01
4.23	7.159	0.347
4.24	7.175	0.519
4.25	7.192	0.6
4.26	7.208	0.628
4.27	7.225	0.61
4.28	7.243	0.537
4.29	7.262	0.367
4.3	7.319	0.01
4.31	7.384	0.358
4.32	7.404	0.577
4.33	7.421	0.682
4.34	7.439	0.732
4.35	7.458	0.737
4.36	7.476	0.698
4.37	7.496	0.595
4.38	7.52	0.332
4.39	7.607	0.436
4.4	7.629	0.683
4.41	7.649	0.805
4.42	7.669	0.87
4.43	7.688	0.894
4.44	7.708	0.878
4.45	7.73	0.815
4.46	7.757	0.671
4.47	7.757	0.01
4.48	7.851	0.858
4.49	7.873	0.985
4.5	7.895	1.06
4.51	7.915	1.099
4.52	7.937	1.106
4.53	7.961	1.081
4.54	7.989	1.022
4.55	8.028	0.991
4.56	8.064	1.112
4.57	8.09	1.225
4.58	8.114	1.304
4.59	8.136	1.355
4.6	8.159	1.383
4.61	8.183	1.392
4.62	8.209	1.387
4.63	8.238	1.389
4.64	8.269	1.429
4.65	8.297	1.498
4.66	8.323	1.565
4.67	8.346	1.618
4.68	8.369	1.657
4.69	8.392	1.682
4.7	8.416	1.697
4.71	8.441	1.708
4.72	8.468	1.723
4.73	8.494	1.751
4.74	8.52	1.79
4.75	8.545	1.83
4.76	8.569	1.864
4.77	8.592	1.891
4.78	8.615	1.908
4.79	8.639	1.918
4.8	8.663	1.923
4.81	8.688	1.929
4.82	8.713	1.939
4.83	8.738	1.955
4.84	8.763	1.974
4.85	8.786	1.991
4.86	8.81	2.004
4.87	8.833	2.009
4.88	8.857	2.008
4.89	8.881	2.001
4.9	8.905	1.992
4.91	8.93	1.984
4.92	8.955	1.98
4.93	8.981	1.982
4.94	9.005	1.984
4.95	9.029	1.984
4.96	9.053	1.977
4.97	9.076	1.964
4.98	9.101	1.943
4.99	9.125	1.918
5	9.151	1.892
5.01	9.178	1.871
5.02	9.204	1.858
5.03	9.23	1.85
5.04	9.254	1.841
5.05	9.278	1.826
5.06	9.303	1.8
5.07	9.327	1.765
5.08	9.353	1.721
5.09	9.38	1.675
5.1	9.408	1.64
5.11	9.437	1.623
5.12	9.464	1.617
5.13	9.489	1.606
5.14	9.515	1.584
5.15	9.539	1.546
5.16	9.565	1.49
5.17	9.591	1.419
5.18	9.622	1.349
5.19	9.655	1.324
5.2	9.686	1.336
5.21	9.712	1.344
5.22	9.737	1.332
5.23	9.761	1.296
5.24	9.785	1.233
5.25	9.813	1.135
5.26	9.846	1.007
5.27	9.889	0.994
5.28	9.92	1.062
5.29	9.946	1.096
5.3	9.97	1.094
5.31	9.993	1.058
5.32	10.017	0.982
5.33	10.042	0.847
5.34	10.081	0.582
5.35	10.137	0.746
5.36	10.165	0.857
5.37	10.188	0.901
5.38	10.209	0.899
5.39	10.231	0.852
5.4	10.254	0.75
5.41	10.277	0.549
5.42	10.267	0.01
5.43	10.389	0.618
5.44	10.411	0.722
5.45	10.432	0.757
5.46	10.452	0.741
5.47	10.473	0.672
5.48	10.493	0.526
5.49	10.524	0.01
5.5	10.616	0.326
5.51	10.638	0.545
5.52	10.658	0.628
5.53	10.678	0.646
5.54	10.697	0.609
5.55	10.717	0.504
5.56	10.736	0.246
5.57	10.809	0.01
5.58	10.867	0.329
5.59	10.887	0.496
5.6	10.905	0.556
5.61	10.924	0.552
5.62	10.942	0.485
5.63	10.961	0.314
5.64	11.015	0.01
5.65	11.071	0.01
5.66	11.116	0.332
5.67	11.134	0.458
5.68	11.152	0.494
5.69	11.17	0.463
5.7	11.189	0.351
5.71	11.225	0.01
5.72	11.278	0.01
5.73	11.331	0.01
5.74	11.364	0.335
5.75	11.382	0.426
5.76	11.4	0.435
5.77	11.416	0.37
5.78	11.434	0.152
5.79	11.492	0.01
5.8	11.536	0.01
5.81	11.595	0.099
5.82	11.611	0.336
5.83	11.629	0.394
5.84	11.647	0.372
5.85	11.665	0.25
5.86	11.709	0.01
5.87	11.752	0.01
5.88	11.794	0.01
5.89	11.843	0.189
5.9	11.861	0.333
5.91	11.877	0.357
5.92	11.895	0.294
5.93	11.923	0.01
5.94	11.971	0.01
5.95	12.01	0.01
5.96	12.052	0.01
5.97	12.092	0.235
5.98	12.108	0.322
5.99	12.127	0.309
6	12.144	0.173
6.01	12.191	0.01
6.02	12.23	0.01
6.03	12.268	0.01
6.04	12.314	0.01
6.05	12.341	0.26
6.06	12.357	0.3
6.07	12.375	0.237
6.08	12.41	0.01
6.09	12.451	0.01
6.1	12.489	0.01
6.11	12.527	0.01
6.12	12.574	0.142
6.13	12.59	0.268
6.14	12.608	0.261
6.15	12.624	0.09
6.16	12.674	0.01
6.17	12.711	0.01
6.18	12.748	0.01
6.19	12.787	0.01
6.2	12.823	0.205
6.21	12.841	0.257
6.22	12.857	0.187
6.23	12.897	0.01
6.24	12.935	0.01
6.25	12.971	0.01
6.26	13.007	0.01
6.27	13.057	0.033
6.28	13.075	0.229
6.29	13.091	0.22
6.3	13.118	0.01
6.31	13.159	0.01
6.32	13.195	0.01
6.33	13.231	0.01
6.34	13.268	0.01
6.35	13.308	0.167
6.36	13.324	0.223
6.37	13.34	0.127
6.38	13.385	0.01
6.39	13.421	0.01
6.4	13.456	0.01
6.41	13.492	0.01
6.42	13.534	0.01
6.43	13.558	0.202
6.44	13.576	0.178
6.45	13.61	0.01
6.46	13.648	0.01
6.47	13.683	0.01
6.48	13.718	0.01
6.49	13.755	0.01
6.5	13.792	0.151
6.51	13.81	0.193
6.52	13.833	0.01
6.53	13.875	0.01
6.54	13.911	0.01
6.55	13.945	0.01
6.56	13.981	0.01
6.57	14.034	0.01
6.58	14.046	0.183
6.59	14.062	0.121
6.6	14.103	0.01
6.61	14.139	0.01
6.62	14.174	0.01
6.63	14.209	0.01
6.64	14.245	0.01
6.65	14.281	0.15
6.66	14.297	0.156
6.67	14.331	0.01
6.68	14.368	0.01
6.69	14.403	0.01
6.7	14.438	0.01
6.71	14.473	0.01
6.72	14.516	0.073
6.73	14.532	0.164
6.74	14.559	0.01
6.75	14.598	0.01
6.76	14.633	0.01
6.77	14.668	0.01
6.78	14.703	0.01
6.79	14.74	0.01
6.8	14.77	0.152
6.81	14.786	0.084
6.82	14.829	0.01
6.83	14.864	0.01
6.84	14.899	0.01
6.85	14.933	0.01
6.86	14.969	0.01
6.87	15.007	0.12
