6.01E-04	0.1306	4.6817	0.1819
8.01E-04	0.1309	4.689	0.4059
1.00E-03	0.1311	4.6958	0.6108
1.20E-03	0.1314	4.7041	0.8417
1.40E-03	0.1317	4.7129	1.0829
1.60E-03	0.132	4.7217	1.3272
1.80E-03	0.1323	4.7305	1.5685
2.00E-03	0.1326	4.7388	1.801
2.20E-03	0.1329	4.7476	2.0198
2.40E-03	0.1331	4.7544	2.2244
2.60E-03	0.1334	4.7622	2.4086
2.80E-03	0.1336	4.7686	2.5722
3.00E-03	0.1338	4.7746	2.7092
3.20E-03	0.134	4.7805	2.8179
3.40E-03	0.1342	4.7863	2.8965
3.60E-03	0.1343	4.7897	2.9483
3.80E-03	0.1345	4.7951	2.98
4.00E-03	0.1347	4.8005	2.9981
4.20E-03	0.1348	4.8034	3.0122
4.40E-03	0.135	4.8083	3.0303
4.60E-03	0.1351	4.8107	3.0596
4.80E-03	0.1353	4.8151	3.105
5.00E-03	0.1354	4.8176	3.1705
5.20E-03	0.1355	4.82	3.256
5.40E-03	0.1356	4.8225	3.3605
5.60E-03	0.1356	4.8225	3.4821
5.80E-03	0.1357	4.8254	3.615
6.00E-03	0.1357	4.8259	3.7552
6.20E-03	0.1357	4.8264	3.8953
6.40E-03	0.1357	4.8273	4.0306
6.60E-03	0.1357	4.8288	4.1556
6.80E-03	0.1356	4.8273	4.2651
7.00E-03	0.1356	4.8288	4.3559
7.20E-03	0.1356	4.8308	4.4253
7.40E-03	0.1355	4.8298	4.4712
7.60E-03	0.1355	4.8317	4.4932
7.80E-03	0.1354	4.8308	4.4903
8.00E-03	0.1354	4.8327	4.4639
8.20E-03	0.1353	4.8322	4.4145
8.40E-03	0.1353	4.8337	4.3437
8.60E-03	0.1352	4.8327	4.2519
8.80E-03	0.1352	4.8347	4.1429
9.00E-03	0.1352	4.8361	4.0165
9.20E-03	0.1351	4.8347	3.8758
9.40E-03	0.1351	4.8361	3.7219
9.60E-03	0.1351	4.8371	3.5568
9.80E-03	0.1351	4.8381	3.382
1.00E-02	0.135	4.8362	3.1995
1.02E-02	0.135	4.8367	3.01
1.04E-02	0.135	4.8377	2.8157
1.06E-02	0.135	4.8377	2.6169
1.08E-02	0.135	4.8382	2.4152
1.10E-02	0.135	4.8382	2.2113
1.12E-02	0.135	4.8382	2.0064
1.14E-02	0.135	4.8382	1.8013
1.16E-02	0.135	4.8382	1.5962
1.18E-02	0.135	4.8377	1.3921
1.20E-02	0.1351	4.8397	1.1893
1.22E-02	0.1351	4.8392	0.9884
1.24E-02	0.1351	4.8387	0.7898
1.26E-02	0.1351	4.8382	0.5935
1.28E-02	0.1352	4.8397	0.4001
1.30E-02	0.1352	4.8392	0.2098
