0.1312	4.6931	0.5593
0.1314	4.7004	0.5901
0.1316	4.7077	0.6366
0.1318	4.7155	0.7056
0.132	4.7233	0.8047
0.1322	4.7307	0.9387
0.1324	4.738	1.1062
0.1326	4.7453	1.2982
0.1328	4.7517	1.5021
0.133	4.758	1.7069
0.1332	4.7644	1.9049
0.1334	4.7702	2.0919
0.1336	4.7756	2.2655
0.1338	4.781	2.425
0.134	4.7863	2.57
0.1342	4.7917	2.7008
0.1344	4.7966	2.8178
0.1346	4.8015	2.9213
0.1348	4.8068	3.0126
0.135	4.8117	3.0907
0.1352	4.8166	3.1576
0.1354	4.8215	3.2123
0.1356	4.8264	3.2563
0.1358	4.8312	3.289
0.136	4.8361	3.3109
0.1362	4.841	3.3227
0.1364	4.8459	3.3241
0.1366	4.8508	3.3153
0.1368	4.8557	3.2963
0.137	4.8605	3.2675
0.1372	4.8654	3.2289
0.1374	4.8708	3.1806
0.1376	4.8757	3.122
0.1378	4.8806	3.0536
0.138	4.8859	2.9755
0.1382	4.8908	2.8871
0.1384	4.8962	2.7892
0.1386	4.9016	2.6815
0.1388	4.9069	2.5641
0.139	4.9123	2.4374
0.1392	4.9182	2.3021
0.1394	4.9235	2.1591
0.1396	4.9299	2.0097
0.1398	4.9357	1.8566
0.14	4.9421	1.7028
0.1402	4.9484	1.5521
0.1404	4.9553	1.4093
0.1406	4.9621	1.2792
0.1408	4.9689	1.1651
0.141	4.9763	1.0684
0.1412	4.9831	0.9887
0.1414	4.9904	0.9243
0.1416	4.9973	0.8725
0.1418	5.0046	0.8307
