4.1	7.36	1.037
4.11	7.389	1.185
4.12	7.413	1.288
4.13	7.438	1.356
4.14	7.462	1.397
4.15	7.489	1.417
4.16	7.517	1.427
4.17	7.55	1.458
4.18	7.583	1.54
4.19	7.612	1.64
4.2	7.638	1.732
4.21	7.664	1.809
4.22	7.69	1.874
4.23	7.715	1.933
4.24	7.743	1.991
4.25	7.77	2.055
4.26	7.796	2.128
4.27	7.823	2.207
4.28	7.848	2.286
4.29	7.873	2.361
4.3	7.897	2.432
4.31	7.92	2.5
4.32	7.944	2.564
4.33	7.969	2.628
4.34	7.993	2.691
4.35	8.016	2.754
4.36	8.039	2.816
4.37	8.062	2.877
4.38	8.086	2.935
4.39	8.108	2.991
4.4	8.13	3.044
4.41	8.153	3.096
4.42	8.175	3.144
4.43	8.198	3.191
4.44	8.22	3.236
4.45	8.241	3.279
4.46	8.263	3.32
4.47	8.286	3.36
4.48	8.307	3.397
4.49	8.329	3.432
4.5	8.35	3.466
4.51	8.372	3.497
4.52	8.394	3.526
4.53	8.415	3.553
4.54	8.437	3.578
4.55	8.458	3.602
4.56	8.48	3.623
4.57	8.502	3.643
4.58	8.523	3.661
4.59	8.544	3.678
4.6	8.567	3.692
4.61	8.588	3.705
4.62	8.609	3.716
4.63	8.631	3.725
4.64	8.652	3.732
4.65	8.674	3.737
4.66	8.696	3.741
4.67	8.717	3.743
4.68	8.739	3.744
4.69	8.762	3.743
4.7	8.783	3.74
4.71	8.805	3.735
4.72	8.827	3.73
4.73	8.849	3.722
4.74	8.871	3.712
4.75	8.893	3.701
4.76	8.915	3.688
4.77	8.937	3.674
4.78	8.96	3.658
4.79	8.982	3.64
4.8	9.005	3.622
4.81	9.027	3.601
4.82	9.049	3.579
4.83	9.073	3.555
4.84	9.095	3.53
4.85	9.118	3.503
4.86	9.141	3.474
4.87	9.164	3.444
4.88	9.188	3.413
4.89	9.211	3.38
4.9	9.234	3.346
4.91	9.258	3.31
4.92	9.281	3.273
4.93	9.306	3.234
4.94	9.33	3.194
4.95	9.354	3.152
4.96	9.378	3.108
4.97	9.402	3.063
4.98	9.427	3.018
4.99	9.452	2.972
5	9.477	2.925
5.01	9.502	2.876
5.02	9.527	2.826
5.03	9.552	2.773
5.04	9.577	2.719
5.05	9.603	2.663
5.06	9.63	2.607
5.07	9.657	2.551
5.08	9.683	2.497
5.09	9.71	2.443
5.1	9.737	2.388
5.11	9.763	2.331
5.12	9.79	2.269
5.13	9.818	2.204
5.14	9.846	2.137
5.15	9.875	2.074
5.16	9.904	2.019
5.17	9.933	1.972
5.18	9.962	1.924
5.19	9.99	1.87
5.2	10.018	1.805
5.21	10.046	1.728
5.22	10.077	1.646
5.23	10.111	1.581
5.24	10.144	1.551
5.25	10.174	1.534
5.26	10.202	1.506
5.27	10.229	1.457
5.28	10.257	1.381
5.29	10.286	1.275
5.3	10.324	1.159
5.31	10.365	1.154
5.32	10.398	1.193
5.33	10.425	1.205
5.34	10.451	1.182
5.35	10.476	1.12
5.36	10.503	1.01
