4.28	7.339	1.009
4.29	7.372	1.158
4.3	7.397	1.267
4.31	7.422	1.341
4.32	7.445	1.386
4.33	7.471	1.406
4.34	7.497	1.409
4.35	7.527	1.408
4.36	7.562	1.449
4.37	7.593	1.537
4.38	7.621	1.627
4.39	7.646	1.703
4.4	7.672	1.764
4.41	7.697	1.812
4.42	7.725	1.853
4.43	7.752	1.896
4.44	7.78	1.95
4.45	7.808	2.017
4.46	7.835	2.09
4.47	7.86	2.161
4.48	7.886	2.228
4.49	7.911	2.289
4.5	7.936	2.346
4.51	7.961	2.402
4.52	7.986	2.458
4.53	8.012	2.517
4.54	8.036	2.577
4.55	8.061	2.637
4.56	8.085	2.696
4.57	8.108	2.752
4.58	8.132	2.807
4.59	8.156	2.858
4.6	8.18	2.908
4.61	8.203	2.957
4.62	8.226	3.004
4.63	8.249	3.051
4.64	8.272	3.096
4.65	8.295	3.14
4.66	8.318	3.182
4.67	8.341	3.223
4.68	8.363	3.261
4.69	8.386	3.297
4.7	8.408	3.332
4.71	8.431	3.365
4.72	8.453	3.396
4.73	8.476	3.426
4.74	8.498	3.455
4.75	8.521	3.481
4.76	8.543	3.506
4.77	8.565	3.53
4.78	8.587	3.552
4.79	8.609	3.572
4.8	8.632	3.59
4.81	8.654	3.606
4.82	8.676	3.622
4.83	8.698	3.635
4.84	8.721	3.647
4.85	8.743	3.657
4.86	8.766	3.667
4.87	8.787	3.674
4.88	8.81	3.68
4.89	8.832	3.684
4.9	8.854	3.687
4.91	8.877	3.688
4.92	8.899	3.687
4.93	8.922	3.685
4.94	8.944	3.682
4.95	8.967	3.677
4.96	8.989	3.671
4.97	9.012	3.663
4.98	9.035	3.654
4.99	9.058	3.644
5	9.08	3.632
5.01	9.104	3.618
5.02	9.126	3.603
5.03	9.149	3.586
5.04	9.173	3.569
5.05	9.195	3.55
5.06	9.219	3.529
5.07	9.242	3.508
5.08	9.266	3.485
5.09	9.289	3.46
5.1	9.313	3.435
5.11	9.337	3.407
5.12	9.36	3.378
5.13	9.385	3.348
5.14	9.408	3.317
5.15	9.433	3.285
5.16	9.457	3.251
5.17	9.481	3.217
5.18	9.506	3.182
5.19	9.53	3.145
5.2	9.556	3.106
5.21	9.58	3.066
5.22	9.605	3.024
5.23	9.631	2.982
5.24	9.656	2.939
5.25	9.682	2.896
5.26	9.707	2.852
5.27	9.733	2.808
5.28	9.758	2.762
5.29	9.785	2.714
5.3	9.811	2.664
5.31	9.837	2.613
5.32	9.864	2.561
5.33	9.891	2.511
5.34	9.919	2.463
5.35	9.946	2.415
5.36	9.973	2.367
5.37	10	2.317
5.38	10.028	2.262
5.39	10.056	2.202
5.4	10.084	2.142
5.41	10.114	2.086
5.42	10.143	2.038
5.43	10.172	1.998
5.44	10.201	1.957
5.45	10.229	1.91
5.46	10.257	1.852
5.47	10.286	1.784
5.48	10.316	1.71
5.49	10.35	1.652
5.5	10.382	1.623
5.51	10.413	1.607
5.52	10.441	1.583
5.53	10.468	1.541
5.54	10.496	1.476
5.55	10.526	1.386
5.56	10.56	1.286
5.57	10.6	1.256
5.58	10.633	1.284
5.59	10.662	1.297
5.6	10.688	1.281
5.61	10.715	1.232
5.62	10.742	1.143
5.63	10.773	1
